20,5
1,1,18
1,2,8
1,3,2
1,4,19
1,5,14
2,1,7
2,2,3
2,3,8
2,4,5
2,5,11
3,1,4
3,2,18
3,3,8
3,4,10
3,5,9
4,1,5
4,2,7
4,3,19
4,4,15
4,5,15
5,1,8
5,2,12
5,3,7
5,4,1
5,5,20
6,1,2
6,2,19
6,3,16
6,4,5
6,5,12
7,1,10
7,2,20
7,3,7
7,4,9
7,5,5
8,1,17
8,2,15
8,3,7
8,4,5
8,5,3
9,1,8
9,2,10
9,3,12
9,4,9
9,5,5
10,1,8
10,2,19
10,3,1
10,4,15
10,5,19
11,1,13
11,2,15
11,3,14
11,4,6
11,5,18
12,1,7
12,2,2
12,3,1
12,4,19
12,5,13
13,1,9
13,2,8
13,3,4
13,4,14
13,5,1
14,1,5
14,2,12
14,3,20
14,4,5
14,5,13
15,1,10
15,2,1
15,3,15
15,4,13
15,5,8
16,1,19
16,2,20
16,3,18
16,4,17
16,5,13
17,1,4
17,2,18
17,3,2
17,4,6
17,5,19
18,1,16
18,2,7
18,3,1
18,4,11
18,5,19
19,1,16
19,2,14
19,3,8
19,4,13
19,5,14
20,1,20
20,2,7
20,3,18
20,4,9
20,5,1
