20,5
1,1,19
1,2,5
1,3,7
1,4,11
1,5,18
2,1,17
2,2,19
2,3,20
2,4,15
2,5,6
3,1,14
3,2,16
3,3,10
3,4,16
3,5,8
4,1,1
4,2,20
4,3,16
4,4,3
4,5,13
5,1,11
5,2,10
5,3,10
5,4,9
5,5,4
6,1,17
6,2,8
6,3,8
6,4,2
6,5,16
7,1,8
7,2,2
7,3,9
7,4,6
7,5,13
8,1,1
8,2,9
8,3,16
8,4,1
8,5,1
9,1,11
9,2,8
9,3,18
9,4,17
9,5,9
10,1,4
10,2,20
10,3,17
10,4,5
10,5,11
11,1,12
11,2,17
11,3,12
11,4,10
11,5,8
12,1,10
12,2,15
12,3,19
12,4,8
12,5,1
13,1,9
13,2,12
13,3,19
13,4,19
13,5,19
14,1,12
14,2,8
14,3,4
14,4,4
14,5,8
15,1,12
15,2,5
15,3,15
15,4,3
15,5,3
16,1,3
16,2,12
16,3,14
16,4,20
16,5,1
17,1,18
17,2,11
17,3,3
17,4,12
17,5,4
18,1,11
18,2,11
18,3,19
18,4,19
18,5,3
19,1,6
19,2,11
19,3,9
19,4,20
19,5,12
20,1,20
20,2,10
20,3,20
20,4,19
20,5,17
