20,5
1,1,17
1,2,1
1,3,12
1,4,19
1,5,12
2,1,8
2,2,7
2,3,15
2,4,13
2,5,10
3,1,17
3,2,14
3,3,17
3,4,19
3,5,9
4,1,6
4,2,1
4,3,6
4,4,19
4,5,4
5,1,5
5,2,9
5,3,15
5,4,19
5,5,12
6,1,20
6,2,12
6,3,1
6,4,1
6,5,14
7,1,9
7,2,19
7,3,13
7,4,6
7,5,10
8,1,6
8,2,2
8,3,20
8,4,5
8,5,7
9,1,18
9,2,6
9,3,14
9,4,5
9,5,15
10,1,1
10,2,15
10,3,17
10,4,14
10,5,3
11,1,17
11,2,19
11,3,12
11,4,1
11,5,4
12,1,9
12,2,7
12,3,13
12,4,8
12,5,13
13,1,16
13,2,7
13,3,14
13,4,20
13,5,2
14,1,18
14,2,2
14,3,11
14,4,10
14,5,3
15,1,5
15,2,1
15,3,1
15,4,13
15,5,7
16,1,19
16,2,16
16,3,11
16,4,4
16,5,12
17,1,5
17,2,16
17,3,7
17,4,19
17,5,17
18,1,10
18,2,8
18,3,12
18,4,2
18,5,2
19,1,20
19,2,9
19,3,13
19,4,13
19,5,11
20,1,12
20,2,12
20,3,14
20,4,3
20,5,18
