20,5
1,1,8
1,2,12
1,3,6
1,4,12
1,5,20
2,1,6
2,2,5
2,3,14
2,4,7
2,5,10
3,1,20
3,2,7
3,3,13
3,4,6
3,5,16
4,1,4
4,2,18
4,3,11
4,4,20
4,5,9
5,1,8
5,2,17
5,3,13
5,4,1
5,5,5
6,1,8
6,2,15
6,3,3
6,4,9
6,5,10
7,1,15
7,2,12
7,3,14
7,4,14
7,5,7
8,1,14
8,2,2
8,3,17
8,4,17
8,5,10
9,1,5
9,2,13
9,3,20
9,4,15
9,5,11
10,1,8
10,2,17
10,3,14
10,4,11
10,5,1
11,1,19
11,2,4
11,3,5
11,4,6
11,5,10
12,1,12
12,2,20
12,3,6
12,4,8
12,5,13
13,1,11
13,2,2
13,3,5
13,4,18
13,5,15
14,1,9
14,2,13
14,3,19
14,4,19
14,5,2
15,1,3
15,2,2
15,3,14
15,4,10
15,5,4
16,1,16
16,2,17
16,3,19
16,4,10
16,5,17
17,1,11
17,2,2
17,3,13
17,4,8
17,5,11
18,1,12
18,2,8
18,3,8
18,4,5
18,5,16
19,1,15
19,2,16
19,3,10
19,4,5
19,5,19
20,1,3
20,2,8
20,3,3
20,4,20
20,5,3
