80,5
1,1,33
1,2,13
1,3,35
1,4,36
1,5,67
2,1,31
2,2,71
2,3,71
2,4,80
2,5,70
3,1,36
3,2,23
3,3,16
3,4,36
3,5,25
4,1,29
4,2,44
4,3,34
4,4,2
4,5,12
5,1,43
5,2,31
5,3,22
5,4,75
5,5,27
6,1,70
6,2,30
6,3,37
6,4,10
6,5,52
7,1,49
7,2,3
7,3,36
7,4,67
7,5,45
8,1,74
8,2,21
8,3,10
8,4,2
8,5,8
9,1,58
9,2,1
9,3,15
9,4,70
9,5,24
10,1,66
10,2,21
10,3,64
10,4,46
10,5,71
11,1,23
11,2,65
11,3,24
11,4,22
11,5,13
12,1,2
12,2,71
12,3,41
12,4,9
12,5,78
13,1,2
13,2,35
13,3,61
13,4,29
13,5,21
14,1,33
14,2,67
14,3,29
14,4,72
14,5,32
15,1,9
15,2,34
15,3,33
15,4,74
15,5,35
16,1,42
16,2,17
16,3,32
16,4,51
16,5,42
17,1,49
17,2,47
17,3,72
17,4,20
17,5,29
18,1,65
18,2,60
18,3,15
18,4,55
18,5,43
19,1,3
19,2,61
19,3,2
19,4,5
19,5,7
20,1,24
20,2,21
20,3,66
20,4,49
20,5,71
21,1,79
21,2,73
21,3,73
21,4,14
21,5,63
22,1,69
22,2,33
22,3,30
22,4,68
22,5,51
23,1,66
23,2,39
23,3,70
23,4,48
23,5,29
24,1,35
24,2,44
24,3,42
24,4,80
24,5,37
25,1,54
25,2,53
25,3,55
25,4,29
25,5,29
26,1,28
26,2,33
26,3,28
26,4,68
26,5,11
27,1,22
27,2,31
27,3,64
27,4,60
27,5,43
28,1,56
28,2,54
28,3,58
28,4,37
28,5,41
29,1,33
29,2,30
29,3,27
29,4,4
29,5,57
30,1,45
30,2,71
30,3,34
30,4,56
30,5,52
31,1,61
31,2,59
31,3,67
31,4,13
31,5,18
32,1,26
32,2,19
32,3,44
32,4,66
32,5,35
33,1,37
33,2,5
33,3,42
33,4,57
33,5,30
34,1,36
34,2,56
34,3,11
34,4,5
34,5,54
35,1,62
35,2,66
35,3,5
35,4,40
35,5,5
36,1,25
36,2,27
36,3,51
36,4,52
36,5,65
37,1,37
37,2,80
37,3,53
37,4,17
37,5,31
38,1,43
38,2,45
38,3,52
38,4,43
38,5,18
39,1,38
39,2,11
39,3,73
39,4,3
39,5,4
40,1,28
40,2,68
40,3,51
40,4,54
40,5,22
41,1,70
41,2,61
41,3,29
41,4,3
41,5,71
42,1,75
42,2,55
42,3,27
42,4,8
42,5,73
43,1,80
43,2,48
43,3,73
43,4,1
43,5,78
44,1,38
44,2,33
44,3,26
44,4,27
44,5,67
45,1,72
45,2,4
45,3,48
45,4,68
45,5,16
46,1,52
46,2,74
46,3,3
46,4,36
46,5,57
47,1,38
47,2,56
47,3,78
47,4,31
47,5,76
48,1,57
48,2,51
48,3,51
48,4,27
48,5,36
49,1,69
49,2,18
49,3,44
49,4,51
49,5,18
50,1,71
50,2,18
50,3,72
50,4,5
50,5,47
51,1,76
51,2,42
51,3,25
51,4,67
51,5,30
52,1,66
52,2,13
52,3,42
52,4,67
52,5,20
53,1,2
53,2,52
53,3,71
53,4,32
53,5,36
54,1,24
54,2,51
54,3,42
54,4,6
54,5,22
55,1,67
55,2,62
55,3,80
55,4,71
55,5,79
56,1,54
56,2,41
56,3,78
56,4,50
56,5,26
57,1,34
57,2,2
57,3,79
57,4,69
57,5,61
58,1,76
58,2,32
58,3,11
58,4,1
58,5,11
59,1,44
59,2,10
59,3,64
59,4,8
59,5,35
60,1,17
60,2,28
60,3,12
60,4,15
60,5,75
61,1,20
61,2,56
61,3,67
61,4,63
61,5,61
62,1,15
62,2,43
62,3,34
62,4,69
62,5,57
63,1,25
63,2,16
63,3,72
63,4,42
63,5,66
64,1,80
64,2,54
64,3,2
64,4,52
64,5,40
65,1,72
65,2,40
65,3,42
65,4,75
65,5,59
66,1,58
66,2,79
66,3,73
66,4,36
66,5,63
67,1,27
67,2,29
67,3,64
67,4,56
67,5,6
68,1,58
68,2,16
68,3,16
68,4,9
68,5,47
69,1,34
69,2,78
69,3,22
69,4,24
69,5,66
70,1,28
70,2,18
70,3,23
70,4,22
70,5,35
71,1,43
71,2,26
71,3,41
71,4,55
71,5,3
72,1,61
72,2,15
72,3,72
72,4,5
72,5,3
73,1,16
73,2,50
73,3,79
73,4,7
73,5,31
74,1,77
74,2,33
74,3,16
74,4,36
74,5,9
75,1,65
75,2,38
75,3,73
75,4,5
75,5,7
76,1,74
76,2,19
76,3,18
76,4,10
76,5,31
77,1,40
77,2,57
77,3,52
77,4,1
77,5,20
78,1,1
78,2,68
78,3,9
78,4,54
78,5,26
79,1,43
79,2,24
79,3,12
79,4,7
79,5,31
80,1,64
80,2,80
80,3,16
80,4,74
80,5,69
