80,5
1,1,12
1,2,14
1,3,51
1,4,69
1,5,52
2,1,26
2,2,46
2,3,79
2,4,44
2,5,16
3,1,44
3,2,75
3,3,65
3,4,13
3,5,18
4,1,52
4,2,57
4,3,1
4,4,13
4,5,59
5,1,35
5,2,49
5,3,23
5,4,48
5,5,79
6,1,36
6,2,34
6,3,68
6,4,36
6,5,18
7,1,24
7,2,63
7,3,39
7,4,18
7,5,2
8,1,7
8,2,73
8,3,3
8,4,47
8,5,24
9,1,7
9,2,5
9,3,20
9,4,70
9,5,36
10,1,21
10,2,29
10,3,28
10,4,77
10,5,55
11,1,42
11,2,26
11,3,22
11,4,64
11,5,43
12,1,44
12,2,71
12,3,4
12,4,70
12,5,16
13,1,72
13,2,58
13,3,43
13,4,27
13,5,72
14,1,61
14,2,36
14,3,47
14,4,12
14,5,12
15,1,59
15,2,54
15,3,35
15,4,70
15,5,53
16,1,31
16,2,29
16,3,34
16,4,12
16,5,58
17,1,8
17,2,6
17,3,72
17,4,61
17,5,57
18,1,78
18,2,41
18,3,56
18,4,56
18,5,38
19,1,17
19,2,70
19,3,14
19,4,32
19,5,32
20,1,29
20,2,42
20,3,74
20,4,78
20,5,55
21,1,66
21,2,62
21,3,17
21,4,66
21,5,77
22,1,68
22,2,72
22,3,33
22,4,11
22,5,12
23,1,15
23,2,37
23,3,72
23,4,13
23,5,9
24,1,67
24,2,67
24,3,62
24,4,51
24,5,74
25,1,20
25,2,60
25,3,71
25,4,54
25,5,76
26,1,70
26,2,41
26,3,4
26,4,39
26,5,24
27,1,69
27,2,36
27,3,37
27,4,38
27,5,73
28,1,26
28,2,70
28,3,6
28,4,65
28,5,69
29,1,7
29,2,9
29,3,46
29,4,44
29,5,24
30,1,60
30,2,79
30,3,1
30,4,23
30,5,46
31,1,43
31,2,60
31,3,23
31,4,4
31,5,36
32,1,6
32,2,71
32,3,44
32,4,71
32,5,7
33,1,28
33,2,69
33,3,75
33,4,68
33,5,24
34,1,59
34,2,1
34,3,35
34,4,21
34,5,63
35,1,77
35,2,61
35,3,78
35,4,63
35,5,68
36,1,12
36,2,15
36,3,28
36,4,30
36,5,17
37,1,71
37,2,40
37,3,61
37,4,73
37,5,61
38,1,10
38,2,13
38,3,33
38,4,3
38,5,67
39,1,35
39,2,26
39,3,16
39,4,58
39,5,41
40,1,18
40,2,15
40,3,59
40,4,21
40,5,45
41,1,59
41,2,45
41,3,61
41,4,41
41,5,49
42,1,63
42,2,63
42,3,41
42,4,17
42,5,24
43,1,72
43,2,44
43,3,14
43,4,55
43,5,16
44,1,68
44,2,9
44,3,2
44,4,7
44,5,14
45,1,46
45,2,49
45,3,33
45,4,34
45,5,29
46,1,52
46,2,46
46,3,20
46,4,22
46,5,51
47,1,77
47,2,37
47,3,7
47,4,66
47,5,38
48,1,27
48,2,60
48,3,21
48,4,25
48,5,79
49,1,28
49,2,53
49,3,16
49,4,59
49,5,75
50,1,72
50,2,12
50,3,42
50,4,42
50,5,54
51,1,10
51,2,14
51,3,52
51,4,7
51,5,79
52,1,11
52,2,12
52,3,27
52,4,13
52,5,77
53,1,17
53,2,43
53,3,20
53,4,46
53,5,27
54,1,36
54,2,37
54,3,29
54,4,17
54,5,70
55,1,8
55,2,69
55,3,57
55,4,8
55,5,67
56,1,74
56,2,33
56,3,54
56,4,40
56,5,37
57,1,40
57,2,4
57,3,58
57,4,48
57,5,42
58,1,64
58,2,65
58,3,1
58,4,67
58,5,28
59,1,16
59,2,34
59,3,8
59,4,29
59,5,62
60,1,65
60,2,33
60,3,51
60,4,32
60,5,40
61,1,35
61,2,63
61,3,25
61,4,53
61,5,46
62,1,21
62,2,37
62,3,44
62,4,20
62,5,6
63,1,58
63,2,39
63,3,68
63,4,56
63,5,37
64,1,14
64,2,65
64,3,52
64,4,5
64,5,44
65,1,51
65,2,37
65,3,43
65,4,70
65,5,54
66,1,55
66,2,61
66,3,29
66,4,27
66,5,2
67,1,41
67,2,63
67,3,23
67,4,80
67,5,3
68,1,58
68,2,60
68,3,6
68,4,2
68,5,21
69,1,27
69,2,21
69,3,61
69,4,61
69,5,50
70,1,58
70,2,46
70,3,33
70,4,72
70,5,49
71,1,80
71,2,61
71,3,46
71,4,69
71,5,70
72,1,79
72,2,20
72,3,36
72,4,79
72,5,72
73,1,41
73,2,9
73,3,18
73,4,19
73,5,45
74,1,76
74,2,16
74,3,69
74,4,53
74,5,60
75,1,35
75,2,60
75,3,51
75,4,65
75,5,17
76,1,30
76,2,56
76,3,62
76,4,20
76,5,77
77,1,10
77,2,28
77,3,37
77,4,58
77,5,3
78,1,60
78,2,18
78,3,35
78,4,10
78,5,5
79,1,38
79,2,24
79,3,7
79,4,11
79,5,61
80,1,18
80,2,4
80,3,43
80,4,16
80,5,55
