80,5
1,1,77
1,2,53
1,3,22
1,4,4
1,5,49
2,1,53
2,2,45
2,3,78
2,4,17
2,5,53
3,1,62
3,2,61
3,3,38
3,4,6
3,5,79
4,1,71
4,2,9
4,3,33
4,4,55
4,5,59
5,1,21
5,2,45
5,3,8
5,4,14
5,5,14
6,1,44
6,2,51
6,3,36
6,4,3
6,5,41
7,1,55
7,2,20
7,3,76
7,4,78
7,5,30
8,1,46
8,2,14
8,3,47
8,4,50
8,5,71
9,1,14
9,2,57
9,3,54
9,4,63
9,5,53
10,1,54
10,2,2
10,3,66
10,4,19
10,5,36
11,1,5
11,2,22
11,3,60
11,4,32
11,5,48
12,1,32
12,2,46
12,3,9
12,4,71
12,5,6
13,1,2
13,2,9
13,3,75
13,4,56
13,5,78
14,1,42
14,2,65
14,3,40
14,4,57
14,5,34
15,1,58
15,2,43
15,3,64
15,4,64
15,5,46
16,1,44
16,2,71
16,3,25
16,4,41
16,5,41
17,1,42
17,2,66
17,3,17
17,4,47
17,5,37
18,1,33
18,2,41
18,3,45
18,4,31
18,5,78
19,1,80
19,2,5
19,3,57
19,4,44
19,5,70
20,1,5
20,2,62
20,3,78
20,4,65
20,5,12
21,1,69
21,2,43
21,3,9
21,4,66
21,5,59
22,1,42
22,2,39
22,3,77
22,4,67
22,5,4
23,1,41
23,2,22
23,3,48
23,4,30
23,5,44
24,1,16
24,2,73
24,3,28
24,4,20
24,5,46
25,1,2
25,2,21
25,3,9
25,4,59
25,5,34
26,1,53
26,2,67
26,3,20
26,4,74
26,5,41
27,1,63
27,2,74
27,3,40
27,4,30
27,5,52
28,1,80
28,2,57
28,3,31
28,4,69
28,5,75
29,1,75
29,2,45
29,3,58
29,4,28
29,5,37
30,1,59
30,2,37
30,3,27
30,4,1
30,5,54
31,1,13
31,2,34
31,3,59
31,4,20
31,5,10
32,1,49
32,2,34
32,3,31
32,4,33
32,5,6
33,1,56
33,2,19
33,3,3
33,4,27
33,5,21
34,1,48
34,2,62
34,3,19
34,4,59
34,5,44
35,1,40
35,2,43
35,3,39
35,4,26
35,5,51
36,1,37
36,2,43
36,3,62
36,4,23
36,5,56
37,1,17
37,2,40
37,3,20
37,4,21
37,5,29
38,1,29
38,2,15
38,3,21
38,4,20
38,5,3
39,1,47
39,2,27
39,3,79
39,4,64
39,5,19
40,1,57
40,2,43
40,3,32
40,4,7
40,5,69
41,1,77
41,2,19
41,3,49
41,4,37
41,5,15
42,1,50
42,2,75
42,3,33
42,4,50
42,5,53
43,1,7
43,2,53
43,3,9
43,4,57
43,5,69
44,1,17
44,2,80
44,3,62
44,4,78
44,5,73
45,1,34
45,2,42
45,3,80
45,4,56
45,5,78
46,1,13
46,2,45
46,3,56
46,4,7
46,5,75
47,1,75
47,2,12
47,3,55
47,4,34
47,5,59
48,1,79
48,2,71
48,3,63
48,4,7
48,5,59
49,1,34
49,2,62
49,3,52
49,4,47
49,5,77
50,1,74
50,2,19
50,3,22
50,4,75
50,5,3
51,1,57
51,2,61
51,3,34
51,4,15
51,5,36
52,1,36
52,2,20
52,3,74
52,4,39
52,5,2
53,1,6
53,2,20
53,3,27
53,4,55
53,5,59
54,1,76
54,2,78
54,3,55
54,4,78
54,5,71
55,1,26
55,2,17
55,3,56
55,4,20
55,5,39
56,1,52
56,2,70
56,3,33
56,4,59
56,5,5
57,1,75
57,2,24
57,3,61
57,4,5
57,5,18
58,1,15
58,2,58
58,3,41
58,4,79
58,5,24
59,1,59
59,2,78
59,3,25
59,4,6
59,5,53
60,1,15
60,2,36
60,3,77
60,4,69
60,5,2
61,1,77
61,2,45
61,3,24
61,4,4
61,5,57
62,1,40
62,2,6
62,3,15
62,4,56
62,5,65
63,1,46
63,2,67
63,3,16
63,4,35
63,5,7
64,1,63
64,2,40
64,3,22
64,4,38
64,5,44
65,1,18
65,2,37
65,3,57
65,4,55
65,5,12
66,1,29
66,2,73
66,3,50
66,4,47
66,5,24
67,1,16
67,2,74
67,3,45
67,4,57
67,5,9
68,1,31
68,2,80
68,3,57
68,4,28
68,5,58
69,1,10
69,2,44
69,3,65
69,4,14
69,5,58
70,1,73
70,2,63
70,3,71
70,4,79
70,5,71
71,1,56
71,2,15
71,3,40
71,4,25
71,5,65
72,1,40
72,2,68
72,3,49
72,4,72
72,5,28
73,1,48
73,2,36
73,3,48
73,4,33
73,5,49
74,1,53
74,2,23
74,3,39
74,4,27
74,5,57
75,1,63
75,2,63
75,3,74
75,4,60
75,5,35
76,1,54
76,2,53
76,3,43
76,4,77
76,5,20
77,1,47
77,2,3
77,3,52
77,4,56
77,5,49
78,1,2
78,2,35
78,3,20
78,4,73
78,5,49
79,1,43
79,2,31
79,3,65
79,4,80
79,5,11
80,1,54
80,2,76
80,3,33
80,4,45
80,5,6
