80,5
1,1,46
1,2,76
1,3,50
1,4,10
1,5,11
2,1,50
2,2,61
2,3,10
2,4,15
2,5,72
3,1,4
3,2,20
3,3,18
3,4,29
3,5,45
4,1,71
4,2,48
4,3,10
4,4,62
4,5,6
5,1,76
5,2,43
5,3,65
5,4,40
5,5,47
6,1,41
6,2,14
6,3,58
6,4,31
6,5,42
7,1,28
7,2,32
7,3,66
7,4,35
7,5,68
8,1,78
8,2,76
8,3,49
8,4,38
8,5,7
9,1,66
9,2,17
9,3,37
9,4,70
9,5,45
10,1,56
10,2,5
10,3,70
10,4,9
10,5,12
11,1,38
11,2,49
11,3,57
11,4,1
11,5,3
12,1,3
12,2,11
12,3,10
12,4,44
12,5,50
13,1,37
13,2,4
13,3,59
13,4,54
13,5,44
14,1,52
14,2,35
14,3,63
14,4,42
14,5,48
15,1,75
15,2,80
15,3,53
15,4,56
15,5,20
16,1,59
16,2,6
16,3,76
16,4,76
16,5,71
17,1,36
17,2,24
17,3,49
17,4,19
17,5,4
18,1,59
18,2,55
18,3,65
18,4,33
18,5,65
19,1,67
19,2,66
19,3,6
19,4,68
19,5,50
20,1,63
20,2,38
20,3,64
20,4,26
20,5,73
21,1,22
21,2,23
21,3,29
21,4,42
21,5,18
22,1,39
22,2,77
22,3,2
22,4,61
22,5,24
23,1,78
23,2,16
23,3,15
23,4,53
23,5,15
24,1,13
24,2,36
24,3,41
24,4,50
24,5,65
25,1,77
25,2,50
25,3,31
25,4,58
25,5,62
26,1,9
26,2,75
26,3,65
26,4,6
26,5,38
27,1,21
27,2,23
27,3,50
27,4,4
27,5,50
28,1,14
28,2,76
28,3,7
28,4,2
28,5,46
29,1,63
29,2,54
29,3,5
29,4,9
29,5,68
30,1,51
30,2,52
30,3,33
30,4,54
30,5,38
31,1,28
31,2,78
31,3,14
31,4,41
31,5,76
32,1,52
32,2,72
32,3,51
32,4,61
32,5,9
33,1,45
33,2,13
33,3,76
33,4,24
33,5,3
34,1,55
34,2,46
34,3,11
34,4,4
34,5,1
35,1,18
35,2,29
35,3,40
35,4,5
35,5,3
36,1,23
36,2,46
36,3,22
36,4,70
36,5,11
37,1,38
37,2,42
37,3,11
37,4,49
37,5,11
38,1,24
38,2,9
38,3,10
38,4,8
38,5,78
39,1,22
39,2,25
39,3,27
39,4,73
39,5,1
40,1,51
40,2,59
40,3,62
40,4,7
40,5,13
41,1,6
41,2,41
41,3,29
41,4,54
41,5,20
42,1,79
42,2,39
42,3,9
42,4,39
42,5,53
43,1,6
43,2,51
43,3,61
43,4,50
43,5,52
44,1,3
44,2,2
44,3,28
44,4,13
44,5,60
45,1,47
45,2,37
45,3,4
45,4,7
45,5,59
46,1,73
46,2,2
46,3,47
46,4,4
46,5,32
47,1,45
47,2,65
47,3,16
47,4,58
47,5,6
48,1,77
48,2,14
48,3,38
48,4,29
48,5,13
49,1,65
49,2,80
49,3,51
49,4,35
49,5,72
50,1,52
50,2,44
50,3,57
50,4,22
50,5,78
51,1,49
51,2,31
51,3,49
51,4,27
51,5,47
52,1,49
52,2,38
52,3,23
52,4,75
52,5,28
53,1,77
53,2,73
53,3,5
53,4,7
53,5,9
54,1,22
54,2,36
54,3,4
54,4,45
54,5,56
55,1,70
55,2,44
55,3,79
55,4,1
55,5,76
56,1,47
56,2,66
56,3,49
56,4,15
56,5,8
57,1,29
57,2,26
57,3,26
57,4,7
57,5,64
58,1,14
58,2,17
58,3,69
58,4,12
58,5,37
59,1,39
59,2,71
59,3,43
59,4,2
59,5,16
60,1,73
60,2,75
60,3,45
60,4,27
60,5,51
61,1,17
61,2,41
61,3,13
61,4,46
61,5,9
62,1,5
62,2,33
62,3,48
62,4,32
62,5,80
63,1,64
63,2,69
63,3,8
63,4,68
63,5,79
64,1,52
64,2,47
64,3,79
64,4,24
64,5,75
65,1,5
65,2,47
65,3,73
65,4,9
65,5,17
66,1,80
66,2,2
66,3,78
66,4,66
66,5,3
67,1,53
67,2,21
67,3,23
67,4,45
67,5,71
68,1,69
68,2,13
68,3,60
68,4,78
68,5,59
69,1,62
69,2,49
69,3,38
69,4,12
69,5,53
70,1,51
70,2,63
70,3,55
70,4,4
70,5,45
71,1,26
71,2,76
71,3,22
71,4,33
71,5,46
72,1,50
72,2,48
72,3,4
72,4,30
72,5,10
73,1,4
73,2,36
73,3,63
73,4,29
73,5,28
74,1,43
74,2,47
74,3,44
74,4,77
74,5,10
75,1,39
75,2,68
75,3,2
75,4,46
75,5,13
76,1,37
76,2,9
76,3,61
76,4,36
76,5,46
77,1,17
77,2,27
77,3,74
77,4,21
77,5,58
78,1,57
78,2,80
78,3,70
78,4,79
78,5,22
79,1,22
79,2,9
79,3,31
79,4,69
79,5,55
80,1,27
80,2,67
80,3,10
80,4,64
80,5,11
