80,5
1,1,2
1,2,45
1,3,47
1,4,61
1,5,76
2,1,17
2,2,75
2,3,52
2,4,31
2,5,31
3,1,58
3,2,12
3,3,24
3,4,43
3,5,7
4,1,65
4,2,43
4,3,53
4,4,60
4,5,9
5,1,73
5,2,80
5,3,13
5,4,52
5,5,60
6,1,50
6,2,52
6,3,24
6,4,72
6,5,28
7,1,79
7,2,60
7,3,5
7,4,27
7,5,58
8,1,33
8,2,48
8,3,49
8,4,26
8,5,49
9,1,22
9,2,24
9,3,34
9,4,60
9,5,45
10,1,20
10,2,37
10,3,9
10,4,37
10,5,15
11,1,12
11,2,14
11,3,28
11,4,17
11,5,1
12,1,3
12,2,33
12,3,76
12,4,1
12,5,26
13,1,46
13,2,51
13,3,61
13,4,3
13,5,33
14,1,78
14,2,8
14,3,78
14,4,66
14,5,54
15,1,18
15,2,75
15,3,27
15,4,12
15,5,67
16,1,49
16,2,47
16,3,34
16,4,7
16,5,40
17,1,14
17,2,43
17,3,67
17,4,57
17,5,17
18,1,65
18,2,33
18,3,68
18,4,26
18,5,56
19,1,1
19,2,53
19,3,48
19,4,1
19,5,4
20,1,52
20,2,44
20,3,31
20,4,28
20,5,48
21,1,13
21,2,39
21,3,24
21,4,64
21,5,78
22,1,18
22,2,67
22,3,17
22,4,31
22,5,33
23,1,36
23,2,79
23,3,69
23,4,41
23,5,13
24,1,3
24,2,65
24,3,4
24,4,67
24,5,48
25,1,46
25,2,20
25,3,53
25,4,10
25,5,53
26,1,46
26,2,27
26,3,26
26,4,8
26,5,16
27,1,6
27,2,16
27,3,7
27,4,40
27,5,28
28,1,55
28,2,20
28,3,3
28,4,60
28,5,79
29,1,79
29,2,17
29,3,38
29,4,74
29,5,20
30,1,2
30,2,64
30,3,8
30,4,69
30,5,2
31,1,67
31,2,40
31,3,45
31,4,60
31,5,2
32,1,73
32,2,66
32,3,14
32,4,12
32,5,33
33,1,71
33,2,41
33,3,9
33,4,15
33,5,27
34,1,21
34,2,73
34,3,29
34,4,13
34,5,38
35,1,63
35,2,62
35,3,25
35,4,68
35,5,50
36,1,29
36,2,62
36,3,60
36,4,70
36,5,51
37,1,62
37,2,20
37,3,38
37,4,7
37,5,29
38,1,47
38,2,51
38,3,27
38,4,38
38,5,35
39,1,69
39,2,6
39,3,72
39,4,28
39,5,8
40,1,38
40,2,8
40,3,24
40,4,47
40,5,80
41,1,10
41,2,35
41,3,75
41,4,31
41,5,19
42,1,6
42,2,15
42,3,58
42,4,11
42,5,53
43,1,12
43,2,6
43,3,24
43,4,41
43,5,51
44,1,52
44,2,3
44,3,3
44,4,67
44,5,61
45,1,50
45,2,47
45,3,72
45,4,59
45,5,49
46,1,58
46,2,70
46,3,77
46,4,60
46,5,12
47,1,22
47,2,39
47,3,14
47,4,71
47,5,42
48,1,27
48,2,26
48,3,8
48,4,69
48,5,23
49,1,32
49,2,74
49,3,16
49,4,65
49,5,24
50,1,64
50,2,62
50,3,31
50,4,57
50,5,37
51,1,35
51,2,6
51,3,37
51,4,67
51,5,30
52,1,44
52,2,44
52,3,17
52,4,62
52,5,42
53,1,16
53,2,18
53,3,78
53,4,79
53,5,32
54,1,54
54,2,73
54,3,34
54,4,80
54,5,25
55,1,27
55,2,76
55,3,15
55,4,44
55,5,29
56,1,57
56,2,31
56,3,7
56,4,36
56,5,66
57,1,76
57,2,39
57,3,21
57,4,24
57,5,58
58,1,16
58,2,2
58,3,27
58,4,42
58,5,78
59,1,63
59,2,9
59,3,27
59,4,28
59,5,8
60,1,14
60,2,76
60,3,17
60,4,33
60,5,51
61,1,71
61,2,29
61,3,31
61,4,33
61,5,10
62,1,40
62,2,72
62,3,74
62,4,38
62,5,53
63,1,13
63,2,37
63,3,62
63,4,76
63,5,46
64,1,57
64,2,78
64,3,55
64,4,22
64,5,16
65,1,52
65,2,46
65,3,73
65,4,2
65,5,42
66,1,18
66,2,50
66,3,68
66,4,37
66,5,15
67,1,62
67,2,14
67,3,54
67,4,65
67,5,75
68,1,47
68,2,9
68,3,68
68,4,15
68,5,19
69,1,25
69,2,9
69,3,70
69,4,69
69,5,66
70,1,26
70,2,28
70,3,31
70,4,62
70,5,31
71,1,16
71,2,22
71,3,76
71,4,18
71,5,79
72,1,26
72,2,37
72,3,30
72,4,72
72,5,72
73,1,70
73,2,5
73,3,38
73,4,23
73,5,72
74,1,79
74,2,64
74,3,77
74,4,1
74,5,79
75,1,49
75,2,11
75,3,41
75,4,4
75,5,72
76,1,44
76,2,57
76,3,4
76,4,17
76,5,16
77,1,70
77,2,20
77,3,6
77,4,7
77,5,80
78,1,41
78,2,19
78,3,37
78,4,67
78,5,50
79,1,11
79,2,59
79,3,77
79,4,23
79,5,29
80,1,21
80,2,52
80,3,47
80,4,77
80,5,67
