50,5
1,1,48
1,2,17
1,3,11
1,4,29
1,5,9
2,1,34
2,2,35
2,3,19
2,4,14
2,5,44
3,1,28
3,2,46
3,3,24
3,4,22
3,5,9
4,1,23
4,2,34
4,3,33
4,4,20
4,5,36
5,1,46
5,2,18
5,3,15
5,4,20
5,5,43
6,1,13
6,2,21
6,3,38
6,4,30
6,5,37
7,1,30
7,2,30
7,3,5
7,4,29
7,5,5
8,1,12
8,2,4
8,3,18
8,4,41
8,5,10
9,1,41
9,2,28
9,3,39
9,4,3
9,5,17
10,1,9
10,2,30
10,3,48
10,4,24
10,5,14
11,1,7
11,2,19
11,3,28
11,4,47
11,5,29
12,1,31
12,2,3
12,3,42
12,4,37
12,5,47
13,1,14
13,2,48
13,3,40
13,4,27
13,5,15
14,1,48
14,2,41
14,3,45
14,4,17
14,5,48
15,1,19
15,2,16
15,3,43
15,4,11
15,5,45
16,1,19
16,2,29
16,3,13
16,4,4
16,5,35
17,1,34
17,2,23
17,3,14
17,4,17
17,5,30
18,1,11
18,2,3
18,3,8
18,4,1
18,5,25
19,1,9
19,2,13
19,3,32
19,4,44
19,5,46
20,1,43
20,2,39
20,3,12
20,4,39
20,5,19
21,1,18
21,2,35
21,3,32
21,4,26
21,5,45
22,1,41
22,2,26
22,3,17
22,4,3
22,5,10
23,1,2
23,2,40
23,3,38
23,4,2
23,5,14
24,1,41
24,2,34
24,3,23
24,4,48
24,5,4
25,1,46
25,2,34
25,3,44
25,4,42
25,5,39
26,1,6
26,2,35
26,3,50
26,4,16
26,5,2
27,1,30
27,2,18
27,3,25
27,4,35
27,5,17
28,1,49
28,2,42
28,3,38
28,4,22
28,5,40
29,1,36
29,2,36
29,3,6
29,4,41
29,5,24
30,1,20
30,2,26
30,3,30
30,4,31
30,5,5
31,1,10
31,2,16
31,3,15
31,4,35
31,5,24
32,1,35
32,2,41
32,3,40
32,4,38
32,5,39
33,1,7
33,2,27
33,3,2
33,4,1
33,5,31
34,1,35
34,2,16
34,3,4
34,4,36
34,5,15
35,1,50
35,2,47
35,3,2
35,4,8
35,5,18
36,1,10
36,2,29
36,3,3
36,4,19
36,5,20
37,1,31
37,2,5
37,3,19
37,4,11
37,5,43
38,1,14
38,2,3
38,3,40
38,4,11
38,5,33
39,1,9
39,2,3
39,3,1
39,4,33
39,5,33
40,1,10
40,2,34
40,3,6
40,4,11
40,5,39
41,1,4
41,2,22
41,3,45
41,4,16
41,5,6
42,1,14
42,2,15
42,3,7
42,4,17
42,5,14
43,1,7
43,2,38
43,3,21
43,4,18
43,5,9
44,1,2
44,2,8
44,3,42
44,4,8
44,5,17
45,1,32
45,2,27
45,3,43
45,4,4
45,5,7
46,1,48
46,2,46
46,3,19
46,4,25
46,5,9
47,1,27
47,2,23
47,3,43
47,4,30
47,5,16
48,1,9
48,2,11
48,3,4
48,4,6
48,5,30
49,1,50
49,2,46
49,3,23
49,4,48
49,5,26
50,1,21
50,2,32
50,3,33
50,4,25
50,5,32
