50,5
1,1,41
1,2,22
1,3,39
1,4,21
1,5,19
2,1,17
2,2,40
2,3,39
2,4,21
2,5,7
3,1,43
3,2,20
3,3,14
3,4,27
3,5,44
4,1,12
4,2,3
4,3,31
4,4,4
4,5,18
5,1,30
5,2,50
5,3,21
5,4,4
5,5,1
6,1,7
6,2,35
6,3,11
6,4,11
6,5,14
7,1,33
7,2,22
7,3,2
7,4,13
7,5,50
8,1,9
8,2,3
8,3,27
8,4,16
8,5,27
9,1,13
9,2,14
9,3,31
9,4,13
9,5,47
10,1,20
10,2,33
10,3,46
10,4,10
10,5,9
11,1,17
11,2,9
11,3,19
11,4,2
11,5,12
12,1,42
12,2,1
12,3,36
12,4,21
12,5,12
13,1,33
13,2,29
13,3,28
13,4,7
13,5,25
14,1,21
14,2,19
14,3,2
14,4,28
14,5,35
15,1,9
15,2,27
15,3,15
15,4,27
15,5,6
16,1,17
16,2,19
16,3,9
16,4,8
16,5,31
17,1,24
17,2,39
17,3,2
17,4,2
17,5,48
18,1,25
18,2,4
18,3,50
18,4,2
18,5,8
19,1,9
19,2,18
19,3,6
19,4,4
19,5,45
20,1,34
20,2,36
20,3,25
20,4,39
20,5,26
21,1,1
21,2,32
21,3,18
21,4,25
21,5,50
22,1,40
22,2,44
22,3,43
22,4,47
22,5,46
23,1,23
23,2,43
23,3,29
23,4,40
23,5,39
24,1,44
24,2,28
24,3,27
24,4,9
24,5,50
25,1,18
25,2,19
25,3,50
25,4,21
25,5,27
26,1,42
26,2,21
26,3,12
26,4,32
26,5,22
27,1,31
27,2,45
27,3,20
27,4,32
27,5,30
28,1,43
28,2,22
28,3,27
28,4,3
28,5,8
29,1,31
29,2,12
29,3,4
29,4,7
29,5,36
30,1,16
30,2,40
30,3,16
30,4,16
30,5,2
31,1,7
31,2,10
31,3,16
31,4,39
31,5,8
32,1,33
32,2,32
32,3,48
32,4,49
32,5,9
33,1,20
33,2,33
33,3,11
33,4,25
33,5,15
34,1,28
34,2,24
34,3,47
34,4,10
34,5,47
35,1,23
35,2,2
35,3,24
35,4,2
35,5,20
36,1,7
36,2,15
36,3,44
36,4,35
36,5,11
37,1,2
37,2,5
37,3,46
37,4,31
37,5,16
38,1,22
38,2,30
38,3,31
38,4,25
38,5,48
39,1,11
39,2,24
39,3,28
39,4,44
39,5,39
40,1,48
40,2,1
40,3,30
40,4,42
40,5,8
41,1,43
41,2,44
41,3,6
41,4,20
41,5,30
42,1,6
42,2,36
42,3,15
42,4,20
42,5,2
43,1,18
43,2,39
43,3,13
43,4,38
43,5,7
44,1,16
44,2,37
44,3,31
44,4,9
44,5,44
45,1,49
45,2,43
45,3,23
45,4,13
45,5,36
46,1,49
46,2,24
46,3,31
46,4,14
46,5,23
47,1,7
47,2,36
47,3,2
47,4,28
47,5,18
48,1,9
48,2,49
48,3,27
48,4,1
48,5,11
49,1,36
49,2,15
49,3,12
49,4,23
49,5,30
50,1,23
50,2,11
50,3,40
50,4,38
50,5,24
