50,5
1,1,11
1,2,20
1,3,21
1,4,49
1,5,9
2,1,1
2,2,21
2,3,44
2,4,34
2,5,31
3,1,32
3,2,6
3,3,2
3,4,47
3,5,45
4,1,33
4,2,37
4,3,36
4,4,21
4,5,48
5,1,17
5,2,11
5,3,30
5,4,49
5,5,8
6,1,35
6,2,32
6,3,50
6,4,33
6,5,14
7,1,39
7,2,34
7,3,43
7,4,40
7,5,12
8,1,37
8,2,15
8,3,3
8,4,19
8,5,18
9,1,38
9,2,6
9,3,44
9,4,21
9,5,29
10,1,30
10,2,14
10,3,15
10,4,29
10,5,48
11,1,36
11,2,25
11,3,20
11,4,40
11,5,7
12,1,1
12,2,41
12,3,22
12,4,42
12,5,25
13,1,19
13,2,22
13,3,11
13,4,20
13,5,42
14,1,48
14,2,13
14,3,12
14,4,36
14,5,9
15,1,18
15,2,35
15,3,18
15,4,3
15,5,10
16,1,12
16,2,17
16,3,9
16,4,20
16,5,28
17,1,21
17,2,17
17,3,22
17,4,36
17,5,29
18,1,14
18,2,15
18,3,4
18,4,34
18,5,12
19,1,47
19,2,44
19,3,12
19,4,44
19,5,49
20,1,17
20,2,45
20,3,25
20,4,30
20,5,31
21,1,18
21,2,2
21,3,30
21,4,20
21,5,30
22,1,2
22,2,8
22,3,18
22,4,30
22,5,46
23,1,35
23,2,32
23,3,2
23,4,14
23,5,4
24,1,3
24,2,1
24,3,25
24,4,41
24,5,28
25,1,34
25,2,10
25,3,28
25,4,25
25,5,13
26,1,25
26,2,23
26,3,24
26,4,4
26,5,44
27,1,17
27,2,43
27,3,30
27,4,40
27,5,11
28,1,19
28,2,38
28,3,2
28,4,7
28,5,28
29,1,7
29,2,48
29,3,24
29,4,39
29,5,27
30,1,15
30,2,42
30,3,49
30,4,41
30,5,47
31,1,16
31,2,21
31,3,34
31,4,2
31,5,48
32,1,8
32,2,25
32,3,5
32,4,8
32,5,6
33,1,29
33,2,35
33,3,14
33,4,37
33,5,29
34,1,42
34,2,3
34,3,13
34,4,3
34,5,36
35,1,15
35,2,50
35,3,19
35,4,14
35,5,22
36,1,37
36,2,37
36,3,40
36,4,48
36,5,49
37,1,33
37,2,25
37,3,33
37,4,8
37,5,28
38,1,47
38,2,10
38,3,28
38,4,43
38,5,4
39,1,45
39,2,33
39,3,45
39,4,1
39,5,49
40,1,22
40,2,34
40,3,38
40,4,11
40,5,36
41,1,12
41,2,29
41,3,46
41,4,6
41,5,32
42,1,17
42,2,2
42,3,20
42,4,31
42,5,11
43,1,22
43,2,35
43,3,8
43,4,9
43,5,23
44,1,5
44,2,2
44,3,7
44,4,9
44,5,32
45,1,33
45,2,25
45,3,21
45,4,50
45,5,41
46,1,33
46,2,5
46,3,18
46,4,15
46,5,50
47,1,3
47,2,49
47,3,30
47,4,13
47,5,37
48,1,4
48,2,29
48,3,28
48,4,26
48,5,12
49,1,46
49,2,40
49,3,48
49,4,32
49,5,33
50,1,11
50,2,25
50,3,36
50,4,29
50,5,45
