50,5
1,1,33
1,2,24
1,3,18
1,4,27
1,5,39
2,1,15
2,2,8
2,3,32
2,4,15
2,5,15
3,1,14
3,2,3
3,3,20
3,4,48
3,5,19
4,1,34
4,2,45
4,3,19
4,4,7
4,5,32
5,1,8
5,2,14
5,3,10
5,4,38
5,5,18
6,1,44
6,2,28
6,3,34
6,4,23
6,5,9
7,1,45
7,2,42
7,3,28
7,4,38
7,5,32
8,1,11
8,2,48
8,3,14
8,4,2
8,5,13
9,1,14
9,2,25
9,3,43
9,4,44
9,5,16
10,1,2
10,2,20
10,3,33
10,4,23
10,5,42
11,1,40
11,2,16
11,3,31
11,4,25
11,5,45
12,1,20
12,2,15
12,3,31
12,4,10
12,5,45
13,1,37
13,2,24
13,3,9
13,4,7
13,5,21
14,1,22
14,2,25
14,3,33
14,4,16
14,5,8
15,1,36
15,2,31
15,3,18
15,4,44
15,5,19
16,1,33
16,2,21
16,3,17
16,4,23
16,5,16
17,1,25
17,2,45
17,3,11
17,4,32
17,5,19
18,1,30
18,2,11
18,3,3
18,4,43
18,5,13
19,1,47
19,2,18
19,3,5
19,4,7
19,5,26
20,1,40
20,2,17
20,3,36
20,4,24
20,5,44
21,1,28
21,2,38
21,3,18
21,4,16
21,5,7
22,1,10
22,2,48
22,3,38
22,4,7
22,5,12
23,1,49
23,2,49
23,3,9
23,4,45
23,5,21
24,1,42
24,2,14
24,3,28
24,4,39
24,5,41
25,1,12
25,2,22
25,3,40
25,4,4
25,5,12
26,1,19
26,2,27
26,3,11
26,4,18
26,5,30
27,1,17
27,2,36
27,3,43
27,4,29
27,5,38
28,1,37
28,2,28
28,3,46
28,4,26
28,5,10
29,1,32
29,2,24
29,3,47
29,4,32
29,5,14
30,1,48
30,2,9
30,3,11
30,4,36
30,5,34
31,1,27
31,2,39
31,3,48
31,4,33
31,5,33
32,1,6
32,2,48
32,3,15
32,4,4
32,5,38
33,1,33
33,2,37
33,3,20
33,4,27
33,5,46
34,1,14
34,2,6
34,3,30
34,4,7
34,5,34
35,1,15
35,2,18
35,3,3
35,4,30
35,5,9
36,1,38
36,2,26
36,3,9
36,4,40
36,5,14
37,1,11
37,2,16
37,3,25
37,4,34
37,5,4
38,1,29
38,2,38
38,3,10
38,4,47
38,5,33
39,1,40
39,2,14
39,3,42
39,4,38
39,5,27
40,1,45
40,2,4
40,3,20
40,4,36
40,5,1
41,1,43
41,2,29
41,3,4
41,4,3
41,5,20
42,1,9
42,2,37
42,3,19
42,4,25
42,5,45
43,1,31
43,2,39
43,3,25
43,4,41
43,5,28
44,1,18
44,2,12
44,3,37
44,4,24
44,5,18
45,1,26
45,2,46
45,3,33
45,4,25
45,5,45
46,1,2
46,2,27
46,3,15
46,4,4
46,5,14
47,1,35
47,2,6
47,3,23
47,4,40
47,5,22
48,1,32
48,2,13
48,3,23
48,4,15
48,5,45
49,1,43
49,2,20
49,3,36
49,4,3
49,5,2
50,1,1
50,2,39
50,3,1
50,4,11
50,5,10
