30,5
1,1,29
1,2,16
1,3,30
1,4,28
1,5,26
2,1,9
2,2,3
2,3,26
2,4,30
2,5,5
3,1,7
3,2,29
3,3,23
3,4,15
3,5,29
4,1,20
4,2,13
4,3,29
4,4,13
4,5,5
5,1,5
5,2,15
5,3,28
5,4,1
5,5,21
6,1,11
6,2,4
6,3,4
6,4,15
6,5,3
7,1,7
7,2,23
7,3,12
7,4,15
7,5,9
8,1,10
8,2,20
8,3,14
8,4,21
8,5,5
9,1,4
9,2,19
9,3,5
9,4,28
9,5,28
10,1,26
10,2,6
10,3,30
10,4,16
10,5,24
11,1,18
11,2,25
11,3,8
11,4,2
11,5,13
12,1,15
12,2,19
12,3,30
12,4,7
12,5,16
13,1,6
13,2,29
13,3,12
13,4,27
13,5,28
14,1,15
14,2,17
14,3,9
14,4,7
14,5,19
15,1,30
15,2,30
15,3,9
15,4,8
15,5,1
16,1,17
16,2,10
16,3,1
16,4,3
16,5,26
17,1,5
17,2,5
17,3,19
17,4,22
17,5,16
18,1,12
18,2,15
18,3,10
18,4,2
18,5,24
19,1,22
19,2,20
19,3,7
19,4,5
19,5,29
20,1,6
20,2,8
20,3,8
20,4,30
20,5,14
21,1,9
21,2,28
21,3,23
21,4,28
21,5,24
22,1,18
22,2,17
22,3,1
22,4,2
22,5,27
23,1,5
23,2,19
23,3,28
23,4,12
23,5,12
24,1,2
24,2,11
24,3,20
24,4,11
24,5,17
25,1,1
25,2,8
25,3,7
25,4,13
25,5,27
26,1,11
26,2,24
26,3,4
26,4,9
26,5,26
27,1,9
27,2,3
27,3,1
27,4,20
27,5,17
28,1,7
28,2,12
28,3,22
28,4,29
28,5,28
29,1,25
29,2,14
29,3,8
29,4,6
29,5,19
30,1,4
30,2,23
30,3,25
30,4,24
30,5,28
