30,5
1,1,25
1,2,19
1,3,27
1,4,14
1,5,14
2,1,1
2,2,21
2,3,10
2,4,1
2,5,14
3,1,25
3,2,14
3,3,22
3,4,7
3,5,18
4,1,3
4,2,18
4,3,8
4,4,25
4,5,5
5,1,20
5,2,20
5,3,21
5,4,13
5,5,22
6,1,17
6,2,30
6,3,2
6,4,25
6,5,24
7,1,18
7,2,29
7,3,10
7,4,12
7,5,1
8,1,21
8,2,6
8,3,17
8,4,7
8,5,17
9,1,16
9,2,2
9,3,21
9,4,16
9,5,4
10,1,12
10,2,23
10,3,2
10,4,18
10,5,16
11,1,16
11,2,16
11,3,1
11,4,20
11,5,8
12,1,6
12,2,28
12,3,14
12,4,23
12,5,28
13,1,2
13,2,20
13,3,16
13,4,8
13,5,26
14,1,26
14,2,4
14,3,10
14,4,6
14,5,28
15,1,28
15,2,2
15,3,2
15,4,9
15,5,19
16,1,19
16,2,29
16,3,5
16,4,10
16,5,10
17,1,24
17,2,28
17,3,15
17,4,9
17,5,8
18,1,3
18,2,29
18,3,21
18,4,4
18,5,25
19,1,23
19,2,22
19,3,24
19,4,10
19,5,15
20,1,27
20,2,17
20,3,14
20,4,20
20,5,8
21,1,8
21,2,13
21,3,26
21,4,20
21,5,18
22,1,15
22,2,14
22,3,22
22,4,1
22,5,20
23,1,8
23,2,23
23,3,5
23,4,14
23,5,4
24,1,4
24,2,6
24,3,7
24,4,1
24,5,24
25,1,28
25,2,14
25,3,7
25,4,11
25,5,5
26,1,7
26,2,8
26,3,23
26,4,24
26,5,22
27,1,2
27,2,15
27,3,15
27,4,2
27,5,2
28,1,11
28,2,3
28,3,25
28,4,21
28,5,23
29,1,19
29,2,7
29,3,20
29,4,14
29,5,18
30,1,1
30,2,17
30,3,11
30,4,6
30,5,12
