30,5
1,1,5
1,2,2
1,3,29
1,4,3
1,5,20
2,1,26
2,2,11
2,3,15
2,4,3
2,5,8
3,1,11
3,2,25
3,3,25
3,4,26
3,5,7
4,1,8
4,2,28
4,3,27
4,4,5
4,5,18
5,1,12
5,2,19
5,3,29
5,4,22
5,5,13
6,1,13
6,2,19
6,3,8
6,4,10
6,5,15
7,1,16
7,2,14
7,3,12
7,4,16
7,5,24
8,1,18
8,2,5
8,3,17
8,4,29
8,5,17
9,1,9
9,2,24
9,3,25
9,4,18
9,5,28
10,1,9
10,2,8
10,3,16
10,4,30
10,5,3
11,1,16
11,2,15
11,3,7
11,4,9
11,5,4
12,1,16
12,2,3
12,3,7
12,4,21
12,5,8
13,1,7
13,2,4
13,3,6
13,4,19
13,5,22
14,1,28
14,2,13
14,3,10
14,4,2
14,5,20
15,1,3
15,2,11
15,3,29
15,4,18
15,5,9
16,1,18
16,2,25
16,3,12
16,4,25
16,5,4
17,1,5
17,2,3
17,3,8
17,4,7
17,5,30
18,1,1
18,2,7
18,3,3
18,4,13
18,5,9
19,1,15
19,2,28
19,3,27
19,4,21
19,5,11
20,1,6
20,2,19
20,3,6
20,4,26
20,5,1
21,1,26
21,2,28
21,3,14
21,4,11
21,5,30
22,1,5
22,2,17
22,3,19
22,4,1
22,5,16
23,1,22
23,2,22
23,3,13
23,4,17
23,5,3
24,1,4
24,2,26
24,3,29
24,4,20
24,5,22
25,1,21
25,2,10
25,3,28
25,4,24
25,5,5
26,1,6
26,2,14
26,3,8
26,4,7
26,5,3
27,1,30
27,2,19
27,3,16
27,4,24
27,5,8
28,1,8
28,2,20
28,3,28
28,4,7
28,5,25
29,1,15
29,2,18
29,3,3
29,4,27
29,5,17
30,1,24
30,2,16
30,3,11
30,4,18
30,5,7
