30,5
1,1,25
1,2,11
1,3,1
1,4,2
1,5,15
2,1,16
2,2,25
2,3,23
2,4,6
2,5,19
3,1,29
3,2,13
3,3,6
3,4,11
3,5,4
4,1,19
4,2,20
4,3,26
4,4,11
4,5,2
5,1,2
5,2,23
5,3,26
5,4,27
5,5,27
6,1,10
6,2,19
6,3,3
6,4,18
6,5,10
7,1,27
7,2,27
7,3,20
7,4,12
7,5,23
8,1,9
8,2,12
8,3,21
8,4,22
8,5,3
9,1,9
9,2,21
9,3,30
9,4,4
9,5,7
10,1,18
10,2,14
10,3,12
10,4,28
10,5,12
11,1,17
11,2,19
11,3,3
11,4,15
11,5,5
12,1,2
12,2,15
12,3,4
12,4,5
12,5,6
13,1,27
13,2,23
13,3,6
13,4,27
13,5,23
14,1,3
14,2,23
14,3,24
14,4,18
14,5,26
15,1,8
15,2,29
15,3,4
15,4,9
15,5,24
16,1,11
16,2,24
16,3,22
16,4,20
16,5,10
17,1,26
17,2,8
17,3,5
17,4,6
17,5,23
18,1,9
18,2,24
18,3,6
18,4,7
18,5,21
19,1,24
19,2,8
19,3,17
19,4,17
19,5,7
20,1,17
20,2,16
20,3,4
20,4,12
20,5,5
21,1,26
21,2,20
21,3,24
21,4,2
21,5,5
22,1,19
22,2,16
22,3,25
22,4,22
22,5,24
23,1,9
23,2,24
23,3,14
23,4,26
23,5,11
24,1,20
24,2,18
24,3,30
24,4,4
24,5,14
25,1,9
25,2,17
25,3,18
25,4,28
25,5,3
26,1,30
26,2,13
26,3,18
26,4,2
26,5,8
27,1,26
27,2,20
27,3,11
27,4,16
27,5,14
28,1,7
28,2,15
28,3,4
28,4,2
28,5,4
29,1,24
29,2,29
29,3,14
29,4,14
29,5,13
30,1,30
30,2,24
30,3,21
30,4,6
30,5,18
