30,5
1,1,10
1,2,16
1,3,4
1,4,3
1,5,3
2,1,3
2,2,16
2,3,20
2,4,27
2,5,8
3,1,23
3,2,1
3,3,2
3,4,2
3,5,11
4,1,19
4,2,14
4,3,21
4,4,2
4,5,2
5,1,18
5,2,4
5,3,13
5,4,1
5,5,22
6,1,24
6,2,1
6,3,19
6,4,20
6,5,25
7,1,23
7,2,15
7,3,3
7,4,24
7,5,3
8,1,4
8,2,9
8,3,29
8,4,1
8,5,30
9,1,2
9,2,19
9,3,12
9,4,3
9,5,2
10,1,22
10,2,22
10,3,9
10,4,15
10,5,21
11,1,18
11,2,19
11,3,15
11,4,12
11,5,20
12,1,7
12,2,3
12,3,3
12,4,12
12,5,10
13,1,3
13,2,27
13,3,1
13,4,2
13,5,16
14,1,8
14,2,29
14,3,9
14,4,29
14,5,7
15,1,10
15,2,16
15,3,20
15,4,2
15,5,1
16,1,29
16,2,22
16,3,11
16,4,30
16,5,30
17,1,2
17,2,22
17,3,4
17,4,29
17,5,8
18,1,4
18,2,1
18,3,21
18,4,4
18,5,27
19,1,1
19,2,6
19,3,18
19,4,22
19,5,27
20,1,5
20,2,19
20,3,11
20,4,18
20,5,25
21,1,24
21,2,14
21,3,11
21,4,8
21,5,11
22,1,3
22,2,29
22,3,13
22,4,11
22,5,21
23,1,16
23,2,22
23,3,4
23,4,12
23,5,8
24,1,11
24,2,23
24,3,2
24,4,25
24,5,12
25,1,8
25,2,8
25,3,5
25,4,3
25,5,7
26,1,5
26,2,29
26,3,29
26,4,5
26,5,26
27,1,11
27,2,12
27,3,24
27,4,5
27,5,6
28,1,18
28,2,12
28,3,27
28,4,19
28,5,6
29,1,6
29,2,18
29,3,11
29,4,13
29,5,12
30,1,9
30,2,2
30,3,6
30,4,15
30,5,17
